# Wavelength(micron) (rp/rs)^2 Error_bars
1.066419132072992326e+01 1.091869072267543164e-02 1.000000000000000082e-05
1.062738530113414548e+01 1.095397177921406291e-02 1.000000000000000082e-05
1.059070631255626083e+01 1.095186745663981158e-02 1.000000000000000082e-05
1.055415391656581647e+01 1.093772191043754054e-02 1.000000000000000082e-05
1.051772767624557225e+01 1.091234911966300694e-02 1.000000000000000082e-05
1.048142715618621779e+01 1.093309169172776256e-02 1.000000000000000082e-05
1.044525192248121215e+01 1.089889565584638460e-02 1.000000000000000082e-05
1.040920154272158094e+01 1.095945834988754086e-02 1.000000000000000082e-05
1.037327558599074173e+01 1.092133337523279631e-02 1.000000000000000082e-05
1.033747362285939708e+01 1.089901905220149424e-02 1.000000000000000082e-05
1.030179522538033332e+01 1.095164031238291154e-02 1.000000000000000082e-05
1.026623996708334552e+01 1.091707605531042242e-02 1.000000000000000082e-05
1.023080742297014112e+01 1.094162597303252431e-02 1.000000000000000082e-05
1.019549716950923290e+01 1.089609893526012098e-02 1.000000000000000082e-05
1.016030878463093501e+01 1.090591807793951130e-02 1.000000000000000082e-05
1.012524184772224167e+01 1.092656435804456247e-02 1.000000000000000082e-05
1.009029593962184634e+01 1.091861340554735500e-02 1.000000000000000082e-05
1.005547064261512524e+01 1.092384375556703854e-02 1.000000000000000082e-05
1.002076554042912804e+01 1.093982823127453638e-02 1.000000000000000082e-05
9.986180218227644900e+00 1.093760925384756888e-02 1.000000000000000082e-05
9.951714262606182970e+00 1.093614428760407604e-02 1.000000000000000082e-05
9.917367261587070715e+00 1.093071629922680831e-02 1.000000000000000082e-05
9.883138804614533868e+00 1.095061919534692611e-02 1.000000000000000082e-05
9.849028482549758934e+00 1.092562451345307703e-02 1.000000000000000082e-05
9.815035887666034853e+00 1.092869878462089661e-02 1.000000000000000082e-05
9.781160613643852031e+00 1.094972266187792427e-02 1.000000000000000082e-05
9.747402255566061768e+00 1.095478755136652591e-02 1.000000000000000082e-05
9.713760409913039240e+00 1.097083448511836611e-02 1.000000000000000082e-05
9.680234674557841146e+00 1.095429960990670741e-02 1.000000000000000082e-05
9.646824648761421983e+00 1.098032184556748531e-02 1.000000000000000082e-05
9.613529933167834329e+00 1.097890614643130987e-02 1.000000000000000082e-05
9.580350129799432679e+00 1.095873155148464201e-02 1.000000000000000082e-05
9.547284842052169651e+00 1.092975830728175508e-02 1.000000000000000082e-05
9.514333674690796272e+00 1.097750170099068105e-02 1.000000000000000082e-05
9.481496233844181276e+00 1.098695598023269326e-02 1.000000000000000082e-05
9.448772127000580667e+00 1.100942561449777708e-02 1.000000000000000082e-05
9.416160963002946360e+00 1.101117127570543260e-02 1.000000000000000082e-05
9.383662352044270349e+00 1.097529479319420478e-02 1.000000000000000082e-05
9.351275905662896903e+00 1.099102937372162768e-02 1.000000000000000082e-05
9.319001236737900484e+00 1.099613556700436250e-02 1.000000000000000082e-05
9.286837959484453009e+00 1.101027532570460904e-02 1.000000000000000082e-05
9.254785689449198216e+00 1.099931157982407710e-02 1.000000000000000082e-05
9.222844043505689982e+00 1.099649767471870716e-02 1.000000000000000082e-05
9.191012639849768462e+00 1.101376819152750756e-02 1.000000000000000082e-05
9.159291097995042819e+00 1.099666658813064704e-02 1.000000000000000082e-05
9.127679038768299336e+00 1.101047171133101923e-02 1.000000000000000082e-05
9.096176084304994802e+00 1.101991058005898777e-02 1.000000000000000082e-05
9.064781858044746343e+00 1.102157776039847971e-02 1.000000000000000082e-05
9.033495984726799932e+00 1.102441442911446939e-02 1.000000000000000082e-05
9.002318090385584171e+00 1.102715252552854963e-02 1.000000000000000082e-05
8.971247802346201894e+00 1.103759445733378322e-02 1.000000000000000082e-05
8.940284749219994609e+00 1.104628169339086190e-02 1.000000000000000082e-05
8.909428560900121141e+00 1.104415260405963023e-02 1.000000000000000082e-05
8.878678868557084769e+00 1.103758276418942592e-02 1.000000000000000082e-05
8.848035304634381149e+00 1.103342883771072855e-02 1.000000000000000082e-05
8.817497502844057422e+00 1.108654252526510356e-02 1.000000000000000082e-05
8.787065098162369026e+00 1.105120774942737819e-02 1.000000000000000082e-05
8.756737726825392087e+00 1.107922581287085553e-02 1.000000000000000082e-05
8.726515026324683788e+00 1.104346909504736948e-02 1.000000000000000082e-05
8.696396635402964037e+00 1.106405098081736024e-02 1.000000000000000082e-05
8.666382194049765175e+00 1.106853003318046015e-02 1.000000000000000082e-05
8.636471343497165165e+00 1.105969304220567363e-02 1.000000000000000082e-05
8.606663726215465715e+00 1.106533025478903705e-02 1.000000000000000082e-05
8.576958985908939681e+00 1.108457133096753602e-02 1.000000000000000082e-05
8.547356767511573139e+00 1.109012666423635739e-02 1.000000000000000082e-05
8.517856717182802129e+00 1.107469852799989815e-02 1.000000000000000082e-05
8.488458482303309793e+00 1.109357674001151123e-02 1.000000000000000082e-05
8.459161711470787992e+00 1.109530137767208990e-02 1.000000000000000082e-05
8.429966054495741545e+00 1.108814534248271991e-02 1.000000000000000082e-05
8.400871162397324454e+00 1.109994610254251904e-02 1.000000000000000082e-05
8.371876687399131711e+00 1.109918577555837720e-02 1.000000000000000082e-05
8.342982282925079929e+00 1.111825087139724048e-02 1.000000000000000082e-05
8.314187603595231124e+00 1.111039579655271649e-02 1.000000000000000082e-05
8.285492305221684006e+00 1.110991660716328239e-02 1.000000000000000082e-05
8.256896044804463486e+00 1.111021752530424143e-02 1.000000000000000082e-05
8.228398480527399528e+00 1.110042011445845980e-02 1.000000000000000082e-05
8.199999271754068175e+00 1.112454238219785264e-02 1.000000000000000082e-05
8.171698079023695271e+00 1.112456688741294067e-02 1.000000000000000082e-05
8.143494564047109918e+00 1.110354357768737407e-02 1.000000000000000082e-05
8.115388389702715699e+00 1.110096823187589621e-02 1.000000000000000082e-05
8.087379220032422822e+00 1.111791640774784963e-02 1.000000000000000082e-05
8.059466720237676185e+00 1.110818301264843502e-02 1.000000000000000082e-05
8.031650556675423047e+00 1.111305838798680098e-02 1.000000000000000082e-05
8.003930396854130436e+00 1.110635435048397228e-02 1.000000000000000082e-05
7.976305909429829200e+00 1.113883348338262635e-02 1.000000000000000082e-05
7.948776764202120759e+00 1.110104324254488836e-02 1.000000000000000082e-05
7.921342632110269122e+00 1.112047233635712201e-02 1.000000000000000082e-05
7.894003185229232500e+00 1.114961300991268445e-02 1.000000000000000082e-05
7.866758096765756214e+00 1.114007899409941160e-02 1.000000000000000082e-05
7.839607041054484249e+00 1.113998769411007374e-02 1.000000000000000082e-05
7.812549693554031727e+00 1.115548906504042377e-02 1.000000000000000082e-05
7.785585730843143537e+00 1.115226132885228406e-02 1.000000000000000082e-05
7.758714830616794345e+00 1.115928777416286266e-02 1.000000000000000082e-05
7.731936671682356099e+00 1.115792183359468753e-02 1.000000000000000082e-05
7.705250933955759329e+00 1.113707063419374504e-02 1.000000000000000082e-05
7.678657298457648217e+00 1.113096474786373288e-02 1.000000000000000082e-05
7.652155447309600511e+00 1.110199659346092563e-02 1.000000000000000082e-05
7.625745063730291484e+00 1.110953870704634028e-02 1.000000000000000082e-05
7.599425832031728056e+00 1.113096399696462784e-02 1.000000000000000082e-05
7.573197437615480254e+00 1.110841325721085952e-02 1.000000000000000082e-05
7.547059566968902011e+00 1.110641183196337846e-02 1.000000000000000082e-05
7.521011907661403484e+00 1.111175830632049610e-02 1.000000000000000082e-05
7.495054148340698497e+00 1.112735495808928748e-02 1.000000000000000082e-05
7.469185978729090181e+00 1.113015028459538903e-02 1.000000000000000082e-05
7.443407089619775263e+00 1.112230644745246418e-02 1.000000000000000082e-05
7.417717172873121712e+00 1.112874252779560112e-02 1.000000000000000082e-05
7.392115921413014767e+00 1.112241395751840771e-02 1.000000000000000082e-05
7.366603029223158572e+00 1.114716941578755387e-02 1.000000000000000082e-05
7.341178191343431081e+00 1.114625135435623297e-02 1.000000000000000082e-05
7.315841103866254969e+00 1.112971063514359843e-02 1.000000000000000082e-05
7.290591463932927674e+00 1.113138838930517738e-02 1.000000000000000082e-05
7.265428969730042930e+00 1.113064291931892616e-02 1.000000000000000082e-05
7.240353320485847455e+00 1.112829315467268355e-02 1.000000000000000082e-05
7.215364216466663372e+00 1.111803032036735688e-02 1.000000000000000082e-05
7.190461358973314177e+00 1.109938538262593595e-02 1.000000000000000082e-05
7.165644450337529392e+00 1.111825937751940649e-02 1.000000000000000082e-05
7.140913193918412283e+00 1.111828373940982641e-02 1.000000000000000082e-05
7.116267294098872931e+00 1.113165564433661950e-02 1.000000000000000082e-05
7.091706456282104831e+00 1.110636295674329553e-02 1.000000000000000082e-05
7.067230386888073035e+00 1.109642567226606230e-02 1.000000000000000082e-05
7.042838793349978310e+00 1.109165757780499091e-02 1.000000000000000082e-05
7.018531384110795024e+00 1.110646304719782422e-02 1.000000000000000082e-05
6.994307868619749513e+00 1.107828890215309565e-02 1.000000000000000082e-05
6.970167957328873065e+00 1.107712137591986522e-02 1.000000000000000082e-05
6.946111361689538910e+00 1.108926796177720116e-02 1.000000000000000082e-05
6.922137794148990331e+00 1.110009133178630966e-02 1.000000000000000082e-05
6.898246968146942493e+00 1.109929690067883341e-02 1.000000000000000082e-05
6.874438598112114107e+00 1.110988729493966008e-02 1.000000000000000082e-05
6.850712399458843471e+00 1.108019928717414275e-02 1.000000000000000082e-05
6.827068088583684080e+00 1.110761787294451200e-02 1.000000000000000082e-05
6.803505382861994022e+00 1.110201065644990728e-02 1.000000000000000082e-05
6.780024000644588433e+00 1.110317346698262361e-02 1.000000000000000082e-05
6.756623661254345770e+00 1.110183106558124307e-02 1.000000000000000082e-05
6.733304084982861148e+00 1.106949343710949239e-02 1.000000000000000082e-05
6.710064993087120122e+00 1.107713407097157647e-02 1.000000000000000082e-05
6.686906107786135145e+00 1.110728467972640215e-02 1.000000000000000082e-05
6.663827152257657538e+00 1.111649185600454767e-02 1.000000000000000082e-05
6.640827850634843266e+00 1.110486299441996311e-02 1.000000000000000082e-05
6.617907928002964013e+00 1.108143601524903300e-02 1.000000000000000082e-05
6.595067110396134247e+00 1.110989483410467632e-02 1.000000000000000082e-05
6.572305124794010744e+00 1.108766050745958222e-02 1.000000000000000082e-05
6.549621699118555185e+00 1.108076797503252005e-02 1.000000000000000082e-05
6.527016562230762986e+00 1.108829606588748566e-02 1.000000000000000082e-05
6.504489443927432113e+00 1.107155895743808065e-02 1.000000000000000082e-05
6.482040074937929219e+00 1.109654748349697684e-02 1.000000000000000082e-05
6.459668186920968225e+00 1.105210251658661491e-02 1.000000000000000082e-05
6.437373512461418201e+00 1.105935480227497776e-02 1.000000000000000082e-05
6.415155785067081062e+00 1.106292423053185578e-02 1.000000000000000082e-05
6.393014739165535865e+00 1.103470756334428045e-02 1.000000000000000082e-05
6.370950110100936925e+00 1.101474935252665620e-02 1.000000000000000082e-05
6.348961634130863452e+00 1.104187524219213401e-02 1.000000000000000082e-05
6.327049048423177169e+00 1.102564829324684074e-02 1.000000000000000082e-05
6.305212091052854184e+00 1.103705366903430865e-02 1.000000000000000082e-05
6.283450500998885246e+00 1.101993169449254004e-02 1.000000000000000082e-05
6.261764018141126265e+00 1.104112703892797843e-02 1.000000000000000082e-05
6.240152383257207447e+00 1.103022393098193783e-02 1.000000000000000082e-05
6.218615338019437111e+00 1.103256938968673155e-02 1.000000000000000082e-05
6.197152624991693060e+00 1.101907191250826520e-02 1.000000000000000082e-05
6.175763987626375240e+00 1.104733826560533316e-02 1.000000000000000082e-05
6.154449170261309554e+00 1.106175877555415354e-02 1.000000000000000082e-05
6.133207918116708512e+00 1.102402346986891199e-02 1.000000000000000082e-05
6.112039977292130999e+00 1.105677996546419566e-02 1.000000000000000082e-05
6.090945094763426937e+00 1.102871812200480542e-02 1.000000000000000082e-05
6.069923018379737023e+00 1.101725893222366484e-02 1.000000000000000082e-05
6.048973496860457821e+00 1.105951435258407771e-02 1.000000000000000082e-05
6.028096279792245937e+00 1.106303081804381992e-02 1.000000000000000082e-05
6.007291117626036403e+00 1.101315446617908561e-02 1.000000000000000082e-05
5.986557761674037081e+00 1.105046022821034972e-02 1.000000000000000082e-05
5.965895964106779026e+00 1.105334197418871879e-02 1.000000000000000082e-05
5.945305477950135753e+00 1.106687687006112884e-02 1.000000000000000082e-05
5.924786057082378044e+00 1.104615500913133479e-02 1.000000000000000082e-05
5.904337456231241177e+00 1.105230334895205418e-02 1.000000000000000082e-05
5.883959430970973514e+00 1.107215514993352065e-02 1.000000000000000082e-05
5.863651737719436596e+00 1.104927698158502010e-02 1.000000000000000082e-05
5.843414133735176819e+00 1.107904670745140339e-02 1.000000000000000082e-05
5.823246377114526418e+00 1.106281293560256937e-02 1.000000000000000082e-05
5.803148226788726660e+00 1.106233799985638366e-02 1.000000000000000082e-05
5.783119442521022613e+00 1.107605876421375105e-02 1.000000000000000082e-05
5.763159784903816529e+00 1.106312167979968224e-02 1.000000000000000082e-05
5.743269015355783935e+00 1.103553674803018497e-02 1.000000000000000082e-05
5.723446896119032345e+00 1.106180470673041698e-02 1.000000000000000082e-05
5.703693190256267975e+00 1.104660040810537952e-02 1.000000000000000082e-05
5.684007661647940246e+00 1.107581241033819656e-02 1.000000000000000082e-05
5.664390074989447577e+00 1.105624163659290303e-02 1.000000000000000082e-05
5.644840195788300541e+00 1.105966880672381268e-02 1.000000000000000082e-05
5.625357790361329435e+00 1.105446379997451073e-02 1.000000000000000082e-05
5.605942625831898063e+00 1.106273400271253274e-02 1.000000000000000082e-05
5.586594470127103307e+00 1.108792018156853215e-02 1.000000000000000082e-05
5.567313091975020001e+00 1.105073348213308701e-02 1.000000000000000082e-05
5.548098260901918266e+00 1.107666491858175055e-02 1.000000000000000082e-05
5.528949747229518152e+00 1.108503866330253981e-02 1.000000000000000082e-05
5.509867322072252271e+00 1.107341525005978156e-02 1.000000000000000082e-05
5.490850757334507115e+00 1.104842866749486570e-02 1.000000000000000082e-05
5.471899825707924769e+00 1.106743293271196006e-02 1.000000000000000082e-05
5.453014300668661996e+00 1.105941055791412504e-02 1.000000000000000082e-05
5.434193956474691056e+00 1.105086598672008064e-02 1.000000000000000082e-05
5.415438568163111199e+00 1.109218280339518969e-02 1.000000000000000082e-05
5.396747911547441490e+00 1.106902490243453184e-02 1.000000000000000082e-05
5.378121763214958939e+00 1.102130463048321338e-02 1.000000000000000082e-05
5.359559900524012654e+00 1.107778769364223086e-02 1.000000000000000082e-05
5.341062101601369072e+00 1.105669735990434145e-02 1.000000000000000082e-05
5.322628145339569627e+00 1.104713887438672076e-02 1.000000000000000082e-05
5.304257811394263555e+00 1.103985091813141327e-02 1.000000000000000082e-05
5.285950880181605527e+00 1.108744781040153088e-02 1.000000000000000082e-05
5.267707132875600884e+00 1.102373944422160162e-02 1.000000000000000082e-05
5.249526351405506830e+00 1.104515576971284302e-02 1.000000000000000082e-05
5.231408318453228290e+00 1.105618332140232037e-02 1.000000000000000082e-05
5.213352817450705778e+00 1.103931360913616884e-02 1.000000000000000082e-05
5.195359632577344122e+00 1.103812222070606891e-02 1.000000000000000082e-05
5.177428548757416316e+00 1.102491321312398451e-02 1.000000000000000082e-05
5.159559351657501125e+00 1.100720162170614087e-02 1.000000000000000082e-05
5.141751827683926912e+00 1.104512846941984282e-02 1.000000000000000082e-05
5.124005763980201245e+00 1.102609063933273834e-02 1.000000000000000082e-05
5.106320948424489359e+00 1.104449486562449761e-02 1.000000000000000082e-05
5.088697169627057093e+00 1.099924439031569126e-02 1.000000000000000082e-05
5.071134216927753791e+00 1.101941713777803908e-02 1.000000000000000082e-05
5.053631880393502307e+00 1.100146611152078707e-02 1.000000000000000082e-05
5.036189950815769478e+00 1.099534556917966706e-02 1.000000000000000082e-05
5.018808219708088991e+00 1.104298246752495431e-02 1.000000000000000082e-05
5.001486479303549615e+00 1.099419140054152914e-02 1.000000000000000082e-05
4.984224522552318959e+00 1.102611974500051009e-02 1.000000000000000082e-05
4.967022143119177002e+00 1.100540204853818829e-02 1.000000000000000082e-05
4.949879135381031858e+00 1.102021439616425284e-02 1.000000000000000082e-05
4.932795294424482613e+00 1.100624730899222789e-02 1.000000000000000082e-05
4.915770416043351076e+00 1.098919273377582835e-02 1.000000000000000082e-05
4.898804296736249064e+00 1.101428147517680145e-02 1.000000000000000082e-05
4.881896733704154556e+00 1.098010783098188510e-02 1.000000000000000082e-05
4.865047524847968319e+00 1.098925926438345038e-02 1.000000000000000082e-05
4.848256468766119376e+00 1.096535355425323592e-02 1.000000000000000082e-05
4.831523364752136729e+00 1.100187910507398857e-02 1.000000000000000082e-05
4.814848012792269927e+00 1.098564415136521130e-02 1.000000000000000082e-05
4.798230213563083879e+00 1.094941867959693498e-02 1.000000000000000082e-05
4.781669768429078538e+00 1.101708240225080307e-02 1.000000000000000082e-05
4.765166479440327230e+00 1.101052752191192599e-02 1.000000000000000082e-05
4.748720149330090123e+00 1.096828503402382318e-02 1.000000000000000082e-05
4.732330581512477430e+00 1.100633125564069899e-02 1.000000000000000082e-05
4.715997580080079743e+00 1.100274511445047294e-02 1.000000000000000082e-05
4.699720949801637460e+00 1.097958060618199096e-02 1.000000000000000082e-05
4.683500496119711975e+00 1.096137348717499821e-02 1.000000000000000082e-05
4.667336025148345335e+00 1.098854897178551566e-02 1.000000000000000082e-05
4.651227343670758074e+00 1.098345293961846061e-02 1.000000000000000082e-05
4.635174259137026631e+00 1.098271720380406685e-02 1.000000000000000082e-05
4.619176579661787407e+00 1.097574547355479116e-02 1.000000000000000082e-05
4.603234114021949708e+00 1.096895141613393049e-02 1.000000000000000082e-05
4.587346671654395358e+00 1.092204844131080405e-02 1.000000000000000082e-05
4.571514062653718291e+00 1.097513602839064566e-02 1.000000000000000082e-05
4.555736097769936599e+00 1.094814241086521263e-02 1.000000000000000082e-05
4.540012588406241001e+00 1.095471204637349719e-02 1.000000000000000082e-05
4.524343346616745087e+00 1.095468858150360283e-02 1.000000000000000082e-05
4.508728185104224018e+00 1.097895085830640112e-02 1.000000000000000082e-05
4.493166917217891410e+00 1.098860462834057132e-02 1.000000000000000082e-05
4.477659356951154912e+00 1.099142464553182208e-02 1.000000000000000082e-05
4.462205318939400200e+00 1.100321814646758496e-02 1.000000000000000082e-05
4.446804618457779412e+00 1.101890428381853242e-02 1.000000000000000082e-05
4.431457071418988036e+00 1.102531110669192384e-02 1.000000000000000082e-05
4.416162494371083547e+00 1.101807268888338118e-02 1.000000000000000082e-05
4.400920704495277391e+00 1.102747769944410414e-02 1.000000000000000082e-05
4.385731519603754514e+00 1.101181612415248236e-02 1.000000000000000082e-05
4.370594758137503533e+00 1.103938532364987998e-02 1.000000000000000082e-05
4.355510239164130049e+00 1.100746858961361256e-02 1.000000000000000082e-05
4.340477782375712579e+00 1.105503802391292686e-02 1.000000000000000082e-05
4.325497208086632739e+00 1.100947471874856240e-02 1.000000000000000082e-05
4.310568337231430291e+00 1.105099513496805505e-02 1.000000000000000082e-05
4.295690991362675071e+00 1.104265379944990855e-02 1.000000000000000082e-05
4.280864992648813150e+00 1.103333012761927717e-02 1.000000000000000082e-05
4.266090163872060970e+00 1.101553660911983729e-02 1.000000000000000082e-05
4.251366328426272823e+00 1.100962080489481867e-02 1.000000000000000082e-05
4.236693310314834982e+00 1.101213837518545159e-02 1.000000000000000082e-05
4.222070934148567822e+00 1.100228666797201799e-02 1.000000000000000082e-05
4.207499025143618177e+00 1.096756771660741675e-02 1.000000000000000082e-05
4.192977409119380106e+00 1.093104575033641834e-02 1.000000000000000082e-05
4.178505912496405017e+00 1.094390134199530774e-02 1.000000000000000082e-05
4.164084362294330433e+00 1.094491823400836443e-02 1.000000000000000082e-05
4.149712586129816749e+00 1.091191136322377207e-02 1.000000000000000082e-05
4.135390412214476008e+00 1.090767105421482780e-02 1.000000000000000082e-05
4.121117669352831747e+00 1.090695783326695381e-02 1.000000000000000082e-05
4.106894186940259317e+00 1.091631845572093272e-02 1.000000000000000082e-05
4.092719794960954616e+00 1.091223175848143705e-02 1.000000000000000082e-05
4.078594323985903713e+00 1.091559432521959326e-02 1.000000000000000082e-05
4.064517605170847148e+00 1.090119120538719615e-02 1.000000000000000082e-05
4.050489470254278856e+00 1.088705648666468510e-02 1.000000000000000082e-05
4.036509751555414915e+00 1.088372638736464365e-02 1.000000000000000082e-05
4.022578281972201353e+00 1.089830017125100609e-02 1.000000000000000082e-05
4.008694894979320189e+00 1.088303445569767207e-02 1.000000000000000082e-05
3.994859424626184374e+00 1.088972240828012424e-02 1.000000000000000082e-05
3.981071705534972249e+00 1.089387346738845963e-02 1.000000000000000082e-05
3.967331572898633141e+00 1.088438482245652865e-02 1.000000000000000082e-05
3.953638862478929816e+00 1.089517900731296930e-02 1.000000000000000082e-05
3.939993410604472501e+00 1.087543178944427001e-02 1.000000000000000082e-05
3.926395054168756449e+00 1.088438799944723388e-02 1.000000000000000082e-05
3.912843630628221270e+00 1.089995370566480999e-02 1.000000000000000082e-05
3.899338978000302269e+00 1.089068337717426574e-02 1.000000000000000082e-05
3.885880934861495994e+00 1.091530034458270022e-02 1.000000000000000082e-05
3.872469340345429778e+00 1.088987641098909318e-02 1.000000000000000082e-05
3.859104034140941497e+00 1.090686598560462392e-02 1.000000000000000082e-05
3.845784856490157555e+00 1.091034821424531100e-02 1.000000000000000082e-05
3.832511648186592179e+00 1.092686395503669923e-02 1.000000000000000082e-05
3.819284250573234285e+00 1.092583623611012404e-02 1.000000000000000082e-05
3.806102505540659653e+00 1.093291735165444374e-02 1.000000000000000082e-05
3.792966255525137775e+00 1.093812134269725456e-02 1.000000000000000082e-05
3.779875343506744478e+00 1.093920460683888915e-02 1.000000000000000082e-05
3.766829613007490973e+00 1.095229988817491250e-02 1.000000000000000082e-05
3.753828908089452021e+00 1.094906548198574386e-02 1.000000000000000082e-05
3.740873073352900313e+00 1.096154672330238930e-02 1.000000000000000082e-05
3.727961953934450179e+00 1.096404597042139120e-02 1.000000000000000082e-05
3.715095395505203513e+00 1.096294731521888638e-02 1.000000000000000082e-05
3.702273244268911245e+00 1.098832870707434559e-02 1.000000000000000082e-05
3.689495346960128597e+00 1.098906285352868953e-02 1.000000000000000082e-05
3.676761550842388093e+00 1.099705541618443624e-02 1.000000000000000082e-05
3.664071703706370364e+00 1.100844548077890665e-02 1.000000000000000082e-05
3.651425653868084709e+00 1.101681448676025861e-02 1.000000000000000082e-05
3.638823250167060319e+00 1.102666762236026443e-02 1.000000000000000082e-05
3.626264341964533511e+00 1.102958682777673699e-02 1.000000000000000082e-05
3.613748779141651823e+00 1.104186617470369162e-02 1.000000000000000082e-05
3.601276412097677682e+00 1.104264727044214703e-02 1.000000000000000082e-05
3.588847091748198714e+00 1.105062065376325939e-02 1.000000000000000082e-05
3.576460669523348734e+00 1.105796402851885046e-02 1.000000000000000082e-05
3.564116997366029604e+00 1.106261131144820400e-02 1.000000000000000082e-05
3.551815927730143763e+00 1.107926422818978143e-02 1.000000000000000082e-05
3.539557313578828968e+00 1.107480572118373259e-02 1.000000000000000082e-05
3.527341008382697485e+00 1.107939889778366757e-02 1.000000000000000082e-05
3.515166866118092592e+00 1.107844055447497651e-02 1.000000000000000082e-05
3.503034741265336205e+00 1.108288705368920546e-02 1.000000000000000082e-05
3.490944488806991153e+00 1.109007588702581870e-02 1.000000000000000082e-05
3.478895964226131898e+00 1.109963939407521138e-02 1.000000000000000082e-05
3.466889023504608147e+00 1.108241560259196762e-02 1.000000000000000082e-05
3.454923523121333773e+00 1.109316158216754576e-02 1.000000000000000082e-05
3.442999320050563750e+00 1.109562445319391133e-02 1.000000000000000082e-05
3.431116271760187963e+00 1.110659470897209372e-02 1.000000000000000082e-05
3.419274236210027684e+00 1.110917020485019738e-02 1.000000000000000082e-05
3.407473071850133373e+00 1.109842979185497909e-02 1.000000000000000082e-05
3.395712637619098917e+00 1.108351259499712124e-02 1.000000000000000082e-05
3.383992792942372763e+00 1.108383854538393803e-02 1.000000000000000082e-05
3.372313397730576146e+00 1.109665794808296739e-02 1.000000000000000082e-05
3.360674312377830653e+00 1.112849044063816267e-02 1.000000000000000082e-05
3.349075397760089334e+00 1.115757973823582397e-02 1.000000000000000082e-05
3.337516515233470482e+00 1.117443088146785612e-02 1.000000000000000082e-05
3.325997526632606061e+00 1.117343063099477535e-02 1.000000000000000082e-05
3.314518294268986143e+00 1.114050325709187508e-02 1.000000000000000082e-05
